"The performance of schools in the May 2019 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC Modernization Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:
MAY 2019 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSE D,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
,MANILA,,,,,,,9,0,,10.00%,,,,,,
120,FAR EAST ASIA PACIFIC,0,3,0,3,0.00%,0,,,0,,0,3,0,3,0.00%,
,INSTITUTE OF TOURISM SCIENCE,,,,,,,0,0,,0.00%,,,,,,
,& TECHNOL,,,,,,,,,,,,,,,,
121,FAR EASTERN COLLEGE - SILANG,0,7,0,7,0.00%,6,6,0,12,50.00%,6,13,0,19,31.58%,
122,FAR EASTERN UNIVERSITY-,24,17,6,47,51.06%,12,,,33,36.36%,36,33,11,80,45.00%,
,MANILA,,,,,,,16,5,,,,,,,,
123,FATHER SATURNINO URIOS,0,1,0,1,0.00%,5,,,21,,5,16,1,22,22.73%,
,UNIVERSITY (URIOS COLL),,,,,,,15,1,,23.81%,,,,,,
124,FATIMA COLLEGE OF CAMIGUIN,0,4,0,4,0.00%,2,2,0,4,50.00%,2,6,0,8,25.00%,
125,FELLOWSHIP BAPTIST COLLEGE,1,15,0,16,6.25%,0,0,0,0,0.00%,1,15,0,16,6.25%,
126,FERNANDEZ COLLEGE OF ARTS &,0,2,0,2,0.00%,0,,,2,,0,4,0,4,0.00%,
,TECHNOLOGY,,,,,,,2,0,,0.00%,,,,,,
127,FEU-FERN COLLEGE-QUEZON,0,0,0,0,0.00%,1,,,2,,1,1,0,2,50.00%,
,CITY,,,,,,,1,0,,50.00%,,,,,,
128,FILAMER CHRISTIAN COLLEGE,0,5,0,5,0.00%,0,10,2,12,0.00%,0,15,2,17,0.00%,
129,FIRST ASIA INSTITUTE OF,0,2,1,3,0.00%,2,,,8,,2,8,1,11,18.18%,
,TECHNOLOGY & HUMANITIES,,,,,,,6,0,,25.00%,,,,,,
130,FLORENCIO L. VARGAS COLLEGE-,0,0,0,0,0.00%,0,,,2,,0,2,0,2,0.00%,
,TUGUEGARAO,,,,,,,2,0,,0.00%,,,,,,
131,FOUNDATION UNIVERSITY,0,1,0,1,0.00%,4,6,0,10,40.00%,4,7,0,11,36.36%,
132,GARCIA COLLEGE OF,6,37,3,46,13.04%,4,,,40,,10,73,3,86,11.63%,
,TECHNOLOGY,,,,,,,36,0,,10.00%,,,,,,
133,GENERAL DE JESUS COLLEGE,0,0,0,0,0.00%,1,1,1,3,33.33%,1,1,1,3,33.33%,
134,"GENERAL SANTOS ACADEMY,",0,1,0,1,0.00%,1,,,4,,1,4,0,5,20.00%,
,INC- SOUTH COTABATO,,,,,,,3,0,,25.00%,,,,,,
135,GENSANTOS FOUNDATION,1,3,0,4,25.00%,1,,,27,,2,28,1,31,6.45%,
,"COLLEGE, INC.",,,,,,,25,1,,3.70%,,,,,,
136,GLOBAL CITY INNOVATIVE,0,0,0,0,0.00%,0,,,1,,0,1,0,1,0.00%,
,COLLEGE,,,,,,,1,0,,0.00%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
137,GLOBAL RECIPROCAL,0,2,0,2,0.00%,0,2,0,2,,0,4,0,4,0.00%,
,"COLLEGES,INC-CALOOCAN",,,,,,,,,,0.00%,,,,,,
