"The perfonnance of schools in the May 2022 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC ModerniZation Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:",,,,,,,,,,,,,,,,,
"MAY 2022 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION
PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
"SEQ.
NO.",SCHOOL,FIRST TIMERS,,,,,,,,,,OVERALL PERFORMANCE,,,,,
29,BATANGAS EASTERN COt.LEGES,0,2,0,2,0.00%,0,0,0,0,0.00%,0,2,0,2,0.00%,
30,BATANGAS STATEUNJVERSIT Y• ARASOF-NASUGBU,2,0,0,2,100.00%,0,0,0,0,0.00%,2,0,0,2,100.00%,
31,BATANGAS STATEUNf\lERSITY• BATANGASCITY,3,24,1,28,10.71114,1,9,0,10,10.00%,4,33,1,38,10.53%,
32,BICOl.COLLEGE,0,6,0,6,0.00%,0,5,0,5,0.00%,0,11,0,11,0.00%,
33,BICOl. UNIVERSITY-OARAGA,7,14,1,22,31.82114,9,4,0,13,69.23%,16,18,1,35,45.71%,
34,BIN.&.LBAGAN CATHOUCCOUEGE,0,1,0,1,0.00%,0,2,0,2,0.00%,0,3,0,3,0.00%,
35,"BOHOlINSTITUTE OF
TECHNOLOOY-TAGBLARAN",0,2,0,2,0.00%,0,1,0,1,0.00%,0,3,0,3,0.00%,
36,"BOHOL NOATHERN ST AR
COUEGE",0,1,0,1,0.00%,0,0,0,0,0.00%,0,1,0,1,0.00%,
37,"BROKENSHIRE COLLEGE· SOCSKSARGEN, INC",0,3,0,3,0.00%,0,0,0,0,0.00%,0,3,0,3,0.00%,
38,BUKIONON STATE UNIVERSITY,2,8,0,10,20.00%,2,2,0,4,50.00%,4,10,0,14,28.57%,
39,BULACANSTATE UNIVERSITY(· MALOLOS,0,0,0,0,0.00%,3,2,0,5,60.00%,3,2,0,5,60.00%,
40,CA.GAVAN STATE UNrvERSrTY• ANDREWS CAMPUS,8,14,0,22,36.36%,6,1,0,7,85.71%,14,15,0,29,48.28%,
41,"CA.GAVAN VALLEY COMPUTER &
INFORMATION TECHNOLOGY
COLLEGE.INC",1,9,0,10,10.00114,1,6,0,7,14.29%,2,15,0,17,11.16%,
42,CALAYAN EDUCATIONAL FOUNDATION INC.,0,1,0,1,0.00%,0,1,0,1,0.00%,0,2,0,2,0.00%,
43,CAMARINES NORTE STATE COUEGE-OAET,1,4,0,5,20.00%,2,2,0,4,50.00%,3,6,0,9,33.33%,
