School,Location,City,TRange,Tuition Fee,Course
UNION COLLEGE,Laguna,"Santa Cruz, Laguna",21000 - 40000,"24,000-28,000",Bachelor of Science in Criminology
UNION COLLEGE,Laguna,"Santa Cruz, Laguna",21000 - 40000,"24,000-28,000",Bachelor of Science in Accountancy
"LAGUNA UNIVERSITYSTA CRUZ, LAGUNA",Laguna,"Santa Cruz, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education 
"LAGUNA UNIVERSITYSTA CRUZ, LAGUNA",Laguna,"Santa Cruz, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
"LAGUNA UNIVERSITYSTA CRUZ, LAGUNA",Laguna,"Santa Cruz, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
"LAGUNA UNIVERSITYSTA CRUZ, LAGUNA",Laguna,"Santa Cruz, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Mechanical Engineering
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSTA. ROSA,Laguna,"Santa Rosa City, Laguna",0 - 20000,"2,000-4,000",Bachelor of Science in Secondary Education
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES STA. ROSA,Laguna,"Santa Rosa City, Laguna",0 - 20000,"2,000-4,000",Bachelor of Science in Accountancy
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSTA. ROSA,Laguna,"Santa Rosa City, Laguna",0 - 20000,"2,000-4,000",Bachelor of Science in Psychology
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSTA. ROSA,Laguna,"Santa Rosa City, Laguna",0 - 20000,"2,000-4,000",Bachelor of Science in Electronics Engineering
DOMINICAN COLLEGE OF STA. ROSA,Laguna,"Santa Rosa City, Laguna",21000 - 40000,"4,000-50,000",Bachelor of Science in Secondary Education
DOMINICAN COLLEGE OF STA. ROSA,Laguna,"Santa Rosa City, Laguna",21000 - 40000,"4,000-50,000",Bachelor of Science in Psychology
LAGUNA STATE POLYTECHNIC UNIVERSITYSINILOAN,Laguna,"Siniloan, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Elementary Education
LAGUNA STATE POLYTECHNIC UNIVERSITYSINILOAN,Laguna,"Siniloan, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Secondary Education
LAGUNA STATE POLYTECHNIC UNIVERSITYSINILOAN,Laguna,"Siniloan, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Criminology
LAGUNA STATE POLYTECHNIC UNIVERSITYSINILOAN,Laguna,"Siniloan, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Accountancy
UNIVERSITY OF MAKATI,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Accountancy
