SCHOOL,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED
DE LA SALLE UNIVERSITY- DASMARI?AS,27,7,34,79.41%,5,8,13,38.46%,32,15,47,68.09%
"DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION, INC",2,17,19,10.53%,6,9,15,40.00%,8,26,34,23.53%
DIVINE WORD UNIVERSITY- TACLOBAN,0,0,0,0.00%,1,2,3,33.33%,1,2,3,33.33%
DR. AURELIO MENDOZA MEMORIAL COLLEGES,3,10,13,23.08%,4,7,11,36.36%,7,17,24,29.17%
DR. GLORIA D. LACSON COLLEGES,1,1,2,50.00%,0,1,1,0.00%,1,2,3,33.33%
EASTERN LUZON COLLEGES- BAMBANG,14,2,16,87.50%,0,0,0,0.00%,14,2,16,87.50%
EASTERN LUZON COLLEGES-LA TRINIDAD,9,0,9,100.00%,0,0,0,0.00%,9,0,9,100.00%
EASTERN VISAYAS CENTRAL COLLEGE,17,54,71,23.94%,15,67,82,18.29%,32,121,153,20.92%
EDUCATIONAL SYSTEM TECHNOLOGICAL INSTITUTE,5,7,12,41.67%,2,1,3,66.67%,7,8,15,46.67%
EMILIO AGUINALDO COLLEGE- DASMARI?AS,6,5,11,54.55%,0,0,0,0.00%,6,5,11,54.55%
EMILIO AGUINALDO COLLEGE- MANILA,10,4,14,71.43%,0,2,2,0.00%,10,6,16,62.50%
ERHARD SYSTEMS TECHNOLOGICAL INSTITUTE,13,11,24,54.17%,0,1,1,0.00%,13,12,25,52.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,11,7,18,61.11%,0,0,0,0.00%,11,7,18,61.11%
F. L. VARGAS COLLEGE-ABULUG,6,3,9,66.67%,1,11,12,8.33%,7,14,21,33.33%
