SCHOOL,% PASSED
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - MOISES,14.29%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - SAN CAR,29.09%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - SIPALAY,33.33%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A)- HINIGARAN,17.50%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A)- HINOBA-AN,22.58%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A)- VICTORIA,37.04%
CENTRAL PHILIPPINE UNIVERSITY,30.00%
CENTRAL SULU COLLEGE,0.38%
CENTRO ESCOLAR UNIVERSITY- MALOLOS,0.00%
CENTRO ESCOLAR UNIVERSITY- MANILA,55.00%
CHIANG KAI SHEK COLLEGE,0.00%
CHILD JESUS COLLEGES,10.00%
CHILDREN OF MARY IMMACULATE COLLEGE,20.00%
CHRIST THE KING COLLEGE OF MARANDING,8.33%
CHRIST THE KING COLLEGE OF SCIENCE  & TECHNOLOGY- MUNTINLUPA,0.00%
CHRIST THE KING COLLEGE- GINGOOG CITY,50.00%
CHRIST THE KING OF CALBAYOG,3.88%
CHRISTIAN COLLEGE OF TANAUAN,20.00%
CHRISTIAN COLLEGES OF SOUTHEAST ASIA,45.45%
CITY COLLEGE OF CALAMBA,67.14%
CITY COLLEGE OF CALAPAN,39.13%
"CITY COLLEGE OF SAN FERNANDO-SAN FERNANDO, PAMPANGA",14.71%
CITY OF MALABON UNIVERSITY (for.MALABON COM. COLL.),18.23%
CLARENDON COLLEGE,21.74%
CLARET COLLEGE OF ISABELA,1.18%
COLAND SYSTEMS TECHNOLOGY - COTABATO CITY,18.18%
COLEGIO DE AMORE,0.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),34.29%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),12.82%
COLEGIO DE LA PURISIMA CONCEPCION,17.95%
COLEGIO DE LAS NAVAS,3.66%
COLEGIO DE LOS BANOS,20.00%
COLEGIO DE MONTALBAN (FOR. PAMANTASAN NG MONTALBAN),15.96%
COLEGIO DE SAN ANTONIO DE PADUA,19.67%
COLEGIO DE SAN FRANCISCO JAVIER,15.52%
COLEGIO DE SAN GABRIEL ARCANGEL,19.35%
COLEGIO DE SAN GABRIEL ARCANGEL OF CALOOCAN,0.00%
COLEGIO DE SAN JOSE,13.79%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,66.67%
"COLEGIO DE SAN JUAN, INC.",12.50%
COLEGIO DE SAN LORENZO,24.24%
